# spell glossary: word<TAB>part_of_speech<TAB>short definition
# Coverage: bundled en_US.dic (80 words). Target ≥80% for tests.
# Context clues help users tell similar-looking words apart (e.g. there/their).
# Rebuild: python scripts/build_glossary.py  (WordNet → Wiktionary → LLM)
# Lines starting with # are comments.

hello	interj.	used as a greeting
uniqueness	n.	the quality of being one of a kind
unisex	adj.	not distinguished on the basis of sex
unison	n.	corresponding exactly
unison	n.	occurring together or simultaneously
unison	n.	(music) two or more sounds or tones at the same pitch or in octaves
unitarian	n.	adherent of Unitarianism
unitarian	adj.	of or relating to or characterizing Unitarianism
unitarianism	n.	Christian doctrine that stresses individual freedom of belief and rejects the Trinity
unitary	adj.	relating to or characterized by or aiming toward unity
unitary	adj.	of or pertaining to or involving the use of units
unitary	adj.	characterized by or constituting a form of government in which power is held by one central authority
unitary	adj.	having the indivisible character of a unit
unite	v.	act in concert or unite in a common purpose or belief
unite	v.	become one
unite	v.	have or possess in combination
unite	v.	be or become joined or united or linked
unite	v.	bring together for a common purpose or action or ideology or in a shared situation
unite	v.	join or combine
unitedly	adv.	with cooperation and interchange
unities	n.	an undivided or unbroken completeness or totality with nothing wanting
unities	n.	the smallest whole number or a numeral representing this number
unities	n.	the quality of being united into one
unitize	v.	divide (bulk material) and process as units
unitize	v.	make into a unit
unitize	v.	separate or classify into units
unity	n.	an undivided or unbroken completeness or totality with nothing wanting
unity	n.	the smallest whole number or a numeral representing this number
unity	n.	the quality of being united into one
univalent	adj.	used of a chromosome that is not paired or united with its homologous chromosome during synapsis
univalent	adj.	having a valence of 1
univalve	n.	a class of mollusks typically having a one-piece coiled shell and flattened muscular foot with a head bearing stalked eyes
univalve	adj.	used of mollusks, especially gastropods, as snails etc.
universal	n.	(linguistics) a grammatical rule (or other linguistic feature) that is found in all languages
universal	n.	(logic) a proposition that asserts something of all members of a class
universal	n.	a behavioral convention or pattern characteristic of all members of a particular culture or of all human beings
universal	n.	coupling that connects two rotating shafts allowing freedom of movement in all directions
universal	adj.	of worldwide scope or applicability; ; - Christopher Morley
universal	adj.	applicable to or common to all members of a group or set
universal	adj.	adapted to various purposes, sizes, forms, operations; ,
universalism	n.	the theological doctrine that all people will eventually be saved
universalist	adj.	of or relating to or tending toward universalism
universality	n.	the quality of being universal; existing everywhere
universalize	v.	make universal
universe	n.	everything that exists anywhere
universe	n.	(statistics) the entire aggregation of items from which samples can be drawn
universe	n.	everything stated or assumed in a given discussion
university	n.	the body of faculty and students at a university
university	n.	establishment where a seat of higher learning is housed, including administrative and living quarters as well as facilities for research and teaching
university	n.	a large and diverse institution of higher learning created to educate for life and for a profession and to grant degrees
univocal	adj.	admitting of no doubt or misunderstanding; having only one meaning or interpretation and leading to only one conclusion
unix	n.	trademark for a powerful operating system
unjust	adj.	not fair; marked by injustice or partiality or deception
unjust	adj.	violating principles of justice
unjust	adj.	not equitable or fair
unkempt	adj.	not neatly combed
unkempt	adj.	not properly maintained or cared for
unkind	adj.	lacking kindness
unkind	adj.	deficient in humane and kindly feelings
unkindly	adj.	lacking in sympathy and kindness
unkindly	adv.	in an unkind manner or with unkindness
unknowable	adj.	not knowable
unknown	n.	an unknown and unexplored region
unknown	n.	anyone who does not belong in the environment in which they are found
unknown	n.	a variable whose values are solutions of an equation
unknown	adj.	not known
unknown	adj.	being or having an unknown or unnamed source
unknown	adj.	not known to exist
unknown	adj.	not famous or acclaimed
unknown	adj.	not known before
unleaded	adj.	not treated with lead
unleaded	adj.	not having leads between the lines
unlike	adj.	marked by dissimilarity
unlike	adj.	not equal in amount
unlikely	adj.	not likely to be true or to occur or to have occurred
unlikely	adj.	has little chance of being the case or coming about
unlikely	adj.	having a probability too low to inspire belief
unlit	adj.	not set afire or burning
unlit	adj.	without illumination
unlock	v.	open the lock of
unlock	v.	set free or release
unlock	v.	become unlocked
unlovable	adj.	incapable of inspiring love or affection; -Joseph Conrad
unlovely	adj.	without beauty or charm
unloving	adj.	not giving or reciprocating affection
unlucky	adj.	having or bringing misfortune
unlucky	adj.	marked by or promising bad fortune; ; ; ; - W.H.Prescott
unmanly	adj.	not possessing qualities befitting a man
unmanly	adj.	lacking in courage and manly strength and resolution; contemptibly fearful
unmanly	adv.	without qualities thought to befit a man
unmarried	adj.	not married or related to the unmarried state
unmentionable	n.	a garment worn under other garments
unmentionable	adj.	unsuitable or forbidden as a topic of conversation
unmentionables	n.	a garment worn under other garments
unmindful	adj.	not mindful or attentive; - G.B.Shaw
unmindful	adj.	(followed by `to' or `of') lacking conscious awareness of
unmistakably	adv.	without possibility of mistake
unmistakably	adv.	in a signal manner
unmovable	adj.	not able or intended to be moved
unmusical	adj.	lacking interest in or talent for music
unmusical	adj.	not musical in nature
unmusical	adj.	lacking melody
unnecessary	adj.	not necessary
unnerving	v.	disturb the composure of
unnerving	adj.	inspiring fear; ; - G.H.Johnston
unobservant	adj.	not consciously observing
unofficial	adj.	not having official authority or sanction
unofficial	adj.	not officially established
unoriginal	adj.	not original; not being or productive of something fresh and unusual; ; - Gwethalyn Graham
unperceptive	adj.	lacking perception
unperceptive	adj.	lacking sensitivity, taste, or judgment
unpersuasive	adj.	not capable of persuading
unpick	v.	become or cause to become undone by separating the fibers or threads of
unpick	v.	undo (the stitches) of (a piece of sewing)
unpin	v.	remove the pins from; unfasten the pins of
unpleasing	adj.	lacking graciousness
unpolitical	adj.	politically neutral
unpopular	adj.	regarded with disfavor or lacking general approval
unprecedented	adj.	having no precedent; novel
unprofessional	adj.	not characteristic of or befitting a profession or one engaged in a profession
unpromising	adj.	unlikely to bring about favorable results or enjoyment
unpropitious	adj.	not propitious
unquestioning	adj.	not inclined to ask questions
unquestioning	adj.	being without doubt or reserve
unquiet	adj.	characterized by unrest or disorder
unquiet	adj.	causing or fraught with or showing anxiety
unread	adj.	not informed through reading; - V.L.Parrington
unready	adj.	not prepared or in a state of readiness; slow to understand or respond
unreal	adj.	lacking in reality or substance or genuineness; not corresponding to acknowledged facts or criteria
unreal	adj.	not actually such; being or seeming fanciful or imaginary
unreal	adj.	contrived by art rather than nature
unreal	adj.	lacking material form or substance; unreal
unreasoning	adj.	not based on reason or evidence
unregenerate	adj.	tenaciously unwilling or marked by tenacious unwillingness to yield
unregenerate	adj.	not reformed morally or spiritually
unregenerate	adj.	unrepentant and incapable of being reformed
unrelated	adj.	lacking a logical or causal relation
unrelated	adj.	not connected by kinship
unrelenting	adj.	not to be placated or appeased or moved by entreaty
unrelenting	adj.	harsh
unrelenting	adj.	never-ceasing
unrelieved	adj.	not lessened or diminished
unremarkable	adj.	found in the ordinary course of events; ; ; - Anita Diamant
unremitting	adj.	uninterrupted in time and indefinitely long continuing
unrepentant	adj.	not penitent or remorseful
unrepentant	adj.	stubbornly persistent in wrongdoing
unreported	adj.	not reported
unrepresentative	adj.	not exemplifying a class
unrest	n.	a state of agitation or turbulent change or development
unrest	n.	a feeling of restless agitation
unripe	adj.	not fully developed or mature; not ripe
unripe	adj.	not fully prepared
unroll	v.	reverse the winding or twisting of
unroll	v.	unroll, unfold, or spread out or be unrolled, unfolded, or spread out from a furled state
unromantic	adj.	neither expressive of nor exciting sexual love or romance
unruliness	n.	the trait of being prone to disobedience and lack of discipline
unruly	adj.	noisy and lacking in restraint or discipline
unruly	adj.	unwilling to submit to authority
unruly	adj.	of persons
unsafe	adj.	lacking in security or safety
unsafe	adj.	involving or causing danger or risk; liable to hurt or harm
unsafe	adj.	not safe from attack
unsaleable	adj.	impossible to sell
unsavory	adj.	morally offensive
unsavory	adj.	not pleasing in odor or taste
unscathed	adj.	not injured
unseeing	adj.	not consciously observing
unseeing	adj.	lacking sight
unseemly	adj.	not in keeping with accepted standards of what is right or proper in polite society
unseen	n.	a belief that there is a realm controlled by a divine spirit
unseen	adj.	not observed
unsentimental	adj.	facing facts or difficulties realistically and with determination
unshakable	adj.	marked by firm determination or resolution; not shakable
unshakable	adj.	without flaws or loopholes
unshakably	adv.	with determination; in a determined manner
unshapely	adj.	not well-proportioned and pleasing in shape
unshockable	adj.	incapable of being shocked
unshorn	adj.	not sheared
unsightliness	n.	ugliness that is unpleasant to look at
unsightly	adj.	unpleasant to look at
unsmiling	adj.	not smiling
unsociable	adj.	not inclined to society or companionship
unsocial	adj.	not seeking or given to association; being or living without companions
unsold	adj.	not disposed of by purchase
unsound	adj.	not in good condition; damaged or decayed
unsound	adj.	not sound financially
unsound	adj.	containing or based on a fallacy
unsound	adj.	suffering from severe mental illness
unsound	adj.	physically unsound or diseased
unsound	adj.	of e.g. advice
unspeakable	adj.	defying expression or description
unspeakable	adj.	exceptionally bad or displeasing
unspeakable	adj.	too sacred to be uttered
unspeakably	adv.	to an inexpressible degree
unspecific	adj.	not detailed or specific
unspectacular	adj.	not spectacular
unsporting	adj.	violating accepted standards or rules
unstable	adj.	lacking stability or fixity or firmness
unstable	adj.	highly or violently reactive
unstable	adj.	affording no ease or reassurance
unstable	adj.	suffering from severe mental illness
unstable	adj.	disposed to psychological variability
unstable	adj.	subject to change; variable
unsteady	adj.	subject to change or variation
unsteady	adj.	not firmly or solidly positioned
unstinting	adj.	very generous
unsubstantial	adj.	lacking material form or substance; unreal
unsubtle	adj.	lacking subtlety; obvious
unsuitable	adj.	not meant or adapted for a particular purpose
unsuitable	adj.	not capable of being applied
unsuitable	adj.	not conducive to good moral development
unsuitable	adj.	not worthy of being chosen (especially as a spouse)
unsure	adj.	lacking self-confidence
unsure	adj.	lacking or indicating lack of confidence or assurance
unsuspecting	adj.	not suspicious
unsuspecting	adj.	(often followed by `of') not knowing or expecting; not thinking likely
unsymmetrical	adj.	lacking symmetry
unsymmetrical	adj.	having unsymmetrical parts or unequal dimensions or measurements
untactful	adj.	lacking or showing a lack of what is fitting and considerate in dealing with others
unthinkably	adv.	to an unimaginable extent
unthinking	adj.	not exhibiting or characterized by careful thought
unthinking	adj.	without care or thought for others
unthinking	adj.	mentally sluggish
unthinking	adv.	in a thoughtless manner
untidy	adj.	not neat and tidy
untimely	adj.	badly timed
untimely	adj.	uncommonly early or before the expected time
untimely	adv.	too soon; in a premature manner
untiring	adj.	characterized by hard work and perseverance
untouchable	n.	belongs to lowest social and ritual class in India
untouchable	adj.	beyond the reach of criticism or attack or impeachment; - Newsweek
untouchable	adj.	impossible to assail
untouchable	adj.	forbidden to the touch
untouchable	adj.	( especially used in traditional Hindu belief of the lowest caste or castes) defiling
untouchable	adj.	not capable of being obtained
untoward	adj.	not in keeping with accepted standards of what is right or proper in polite society
untoward	adj.	contrary to your interests or welfare
untrue	adj.	not according with the facts
untrue	adj.	not true to an obligation or trust; -Bruno Laske
untrue	adj.	not accurately fitted; not level
untrue	adj.	(used especially of persons) not dependable in devotion or affection; unfaithful
untrustworthy	adj.	not worthy of trust or belief
untruth	n.	a false statement
unutterable	adj.	too sacred to be uttered
unutterable	adj.	defying expression or description
unutterable	adj.	very difficult to pronounce correctly
unutterably	adv.	to an inexpressible degree
unwarrantable	adj.	incapable of being justified or explained
unwary	adj.	not alert to danger or deception; ; ; - O.J.Campbell
unwavering	adj.	marked by firm determination or resolution; not shakable
unwavering	adj.	not showing abrupt variations; ; - Louis Auchincloss
unwed	adj.	of someone who has not been married
unwelcome	adj.	not welcome; not giving pleasure or received with pleasure
unwelcome	adj.	not welcome
unwell	adj.	somewhat ill or prone to illness
unwieldiness	n.	the quality of being difficult to direct or control by reason of complexity
unwieldiness	n.	trouble in carrying or managing caused by bulk or shape
unwieldy	adj.	difficult to use or handle or manage because of size or weight or shape
unwieldy	adj.	difficult to work or manipulate
unwieldy	adj.	lacking grace in movement or posture
unwise	adj.	showing or resulting from lack of judgment or wisdom
unwise	adj.	not appropriate to the purpose
unworried	adj.	free of trouble and worry and care
unworthy	adj.	lacking in value or merit
unworthy	adj.	not deserving
unworthy	adj.	morally reprehensible
unwound	v.	reverse the winding or twisting of
unwound	v.	separate the tangles of
unwound	v.	become less tense, rest, or take one's ease
unwound	v.	cause to feel relaxed
unwrapping	v.	remove the outer cover or wrapping of
unwrapping	v.	make known to the public information that was previously known only to a few people or that was meant to be kept a secret
unyielding	adj.	stubbornly unyielding; ; ; ; - T.S.Eliot
unyielding	adj.	resistant to physical force or pressure
up	v.	raise
up	adj.	being or moving higher in position or greater in some value; being above a former position or level
up	adj.	out of bed
up	adj.	getting higher or more vigorous
up	adj.	extending or moving toward a higher place
up	adj.	(usually followed by `on' or `for') in readiness
up	adj.	open
up	adj.	(used of computers) operating properly
up	adj.	used up
up	adv.	spatially or metaphorically from a lower to a higher position
up	adv.	to a higher intensity
up	adv.	nearer to the speaker
up	adv.	to a more central or a more northerly place
up	adv.	to a later time
upanishads	n.	a later sacred text of Hinduism of a mystical nature dealing with metaphysical questions
upbeat	n.	a contented state of being happy and healthy and prosperous
upbeat	n.	an unaccented beat (especially the last beat of a measure)
upbeat	adj.	pleasantly (even unrealistically) optimistic
upbraid	v.	express criticism towards
upbringing	n.	properties acquired during a person's formative years
upbringing	n.	helping someone grow up to be an accepted member of the community
upchuck	v.	eject the contents of the stomach through the mouth
upcoming	adj.	of the relatively near future
upcountry	adj.	of or coming from the middle of a region or country
update	n.	news that updates your information
update	v.	modernize or bring up to date
update	v.	bring up to date; supply with recent information
update	v.	bring to the latest state of technology
updike	n.	United States author (born 1932)
updraft	n.	a strong upward air current
upend	v.	become turned or set on end
upend	v.	set, turn, or stand on end
upfront	adj.	frank and honest
upgrade	n.	an upward slope or grade (as in a road)
upgrade	n.	software that provides better performance than an earlier version did
upgrade	n.	a reservation that is improved
upgrade	n.	the property possessed by a slope or surface that rises
upgrade	n.	hardware that provides better performance than an earlier version did
upgrade	n.	the act of improving something (especially machinery) by raising it to a higher grade (as by adding or replacing components)
upgrade	v.	rate higher; raise in value or esteem
upgrade	v.	to improve what was old or outdated
upgrade	v.	give a promotion to or assign to a higher position
upgrade	v.	get better travel conditions
upgrade	v.	give better travel conditions to
upheaval	n.	a state of violent disturbance and disorder (as in politics or social conditions generally)
upheaval	n.	a violent disturbance
upheaval	n.	(geology) a rise of land to a higher elevation (as in the process of mountain building)
upheaval	n.	disturbance usually in protest
upheld	v.	keep or maintain in unaltered condition; cause to remain or last
upheld	v.	stand up for; stick up for; of causes, principles, or ideals
upheld	v.	support against an opponent
uphill	n.	the upward slope of a hill
uphill	adj.	sloping upward
uphill	adv.	against difficulties
uphill	adv.	upward on a hill or incline
uphold	v.	keep or maintain in unaltered condition; cause to remain or last
uphold	v.	stand up for; stick up for; of causes, principles, or ideals
uphold	v.	support against an opponent
upholder	n.	someone who upholds or maintains
upholster	v.	provide furniture with padding, springs, webbing, and covers
upholsterer	n.	a craftsman who upholsters furniture
upholstery	n.	covering (padding and springs and webbing and fabric) on a piece of furniture
upholstery	n.	the craft of upholstering
upjohn	n.	United States architect (born in England) (1802-1878)
upkeep	n.	activity involved in maintaining something in good working order
upkeep	n.	the act of sustaining life by food or providing a means of subsistence
upland	n.	elevated (e.g., mountainous) land
upland	adj.	used of high or hilly country
uplift	n.	(geology) a rise of land to a higher elevation (as in the process of mountain building)
uplift	n.	a brassiere that lifts and supports the breasts
uplift	v.	fill with high spirits; fill with optimism
uplift	v.	lift up from the earth, as by geologic forces
uplift	v.	lift up or elevate
upload	v.	transfer a file or program to a central computer from a smaller computer or a computer at a remote location
upmarket	adj.	designed for consumers with high incomes; - New Yorker
upmost	adj.	at or nearest to the top
upped	v.	raise
upper	n.	the higher of two berths
upper	n.	piece of leather or synthetic material that forms the part of a shoe or boot above the sole that encases the foot
upper	n.	a central nervous system stimulant that increases energy and decreases appetite; used to treat narcolepsy and some forms of depression
upper	adj.	the topmost one of two
upper	adj.	higher in place or position
upper	adj.	superior in rank or accomplishment
uppercase	n.	one of the large alphabetic characters used as the first letter in writing or printing proper names and sometimes for emphasis
uppercase	adj.	relating to capital letters which were kept in the top half of a compositor's type case
uppercut	n.	a swinging blow directed upward (especially at an opponent's chin)
uppermost	adj.	at or nearest to the top
uppermost	adv.	in or into the most prominent position, as in the mind
uppermost	adv.	in or into the highest position
upping	v.	raise
uppish	adj.	(used colloquially) overly conceited or arrogant; -Laurent Le Sage
uppity	adj.	presumptuously arrogant; ; - S.V.Benet; - NY Times
upraise	v.	cause to become alive again
upright	n.	a vertical structural member as a post or stake
upright	n.	a piano with a vertical sounding board
upright	adj.	in a vertical position; not sloping
upright	adj.	of moral excellence
upright	adj.	upright in position or posture
uprightness	n.	the property of being upright in posture
uprightness	n.	position at right angles to the horizon
uprightness	n.	righteousness as a consequence of being honorable and honest
uprising	n.	organized opposition to authority; a conflict in which one faction tries to wrest control from another
uprising	v.	come into existence; take on form or shape
uprising	v.	ascend as a sound
uprising	v.	rise up as in fear
uprising	v.	rise to one's feet
uprising	v.	come up, of celestial bodies
uprising	v.	move upward
uprising	v.	return from the dead
uprising	v.	get up and out of bed
upriver	adv.	toward the source or against the current
uproar	n.	a state of commotion and noise and confusion
uproar	n.	loud confused noise from many sources
uproarious	adj.	uncontrollably noisy
uproarious	adj.	marked by or causing boisterous merriment or convulsive laughter
uproot	v.	move (people) forcibly from their homeland into a new and foreign environment
uproot	v.	destroy completely, as if down to the roots
uproot	v.	pull up by or as if by the roots
ups	v.	raise
upscale	adj.	appropriate for people with good incomes
upset	n.	an unhappy and worried mental state
upset	n.	the act of disturbing the mind or body
upset	n.	a physical condition in which there is a disturbance of normal functioning
upset	n.	a tool used to thicken or spread metal (the end of a bar or a rivet etc.) by forging or hammering or swaging
upset	n.	the act of upsetting something
upset	n.	an improbable and unexpected victory
upset	v.	disturb the balance or stability of
upset	v.	cause to lose one's composure
upset	v.	move deeply
upset	v.	cause to overturn from an upright or normal position
upset	v.	form metals with a swage
upset	v.	defeat suddenly and unexpectedly
upset	adj.	afflicted with or marked by anxious uneasiness or trouble or grief
upset	adj.	thrown into a state of disarray or confusion
upset	adj.	used of an unexpected defeat of a team favored to win
upset	adj.	mildly physically distressed
upset	adj.	having been turned so that the bottom is no longer the bottom
upsetting	v.	disturb the balance or stability of
upsetting	v.	cause to lose one's composure
upsetting	v.	move deeply
upsetting	v.	cause to overturn from an upright or normal position
upsetting	v.	form metals with a swage
upsetting	v.	defeat suddenly and unexpectedly
upsetting	adj.	causing an emotional disturbance; - Herb Caen
upshot	n.	a phenomenon that follows and is caused by some previous phenomenon
upside	n.	the highest or uppermost side of anything
upsilon	n.	the 20th letter of the Greek alphabet
upstage	n.	the rear part of the stage
upstage	v.	treat snobbishly, put in one's place
upstage	v.	move upstage, forcing the other actors to turn away from the audience
upstage	v.	steal the show, draw attention to oneself away from someone else
upstage	adj.	of the back half of a stage
upstage	adj.	remote in manner
upstage	adv.	at or toward the rear of the stage
upstairs	n.	the part of a building above the ground floor
upstairs	adj.	on or of upper floors of a building
upstairs	adv.	on a floor above
upstairs	adv.	with respect to the mind
upstanding	adj.	meriting respect or esteem
upstart	n.	an arrogant or presumptuous person
upstart	n.	a person who has suddenly risen to a higher economic status but has not gained social acceptance of others in that class
upstart	n.	a gymnastic exercise performed starting from a position with the legs over the upper body and moving to an erect position by arching the back and swinging the legs out and down while forcing the chest upright
upstart	adj.	characteristic of someone who has risen economically or socially but lacks the social skills appropriate for this new position
upstate	adv.	in or toward the northern parts of a state
upstream	adj.	in the direction against a stream's current
upstream	adv.	toward the source or against the current
upstroke	n.	a stroke normally made in an upward direction
upsurge	n.	a sudden forceful flow
upsurge	n.	a sudden or abrupt strong increase
uptake	n.	the process of taking food into the body through the mouth (as by eating)
uptake	n.	a process of taking up or using up or consuming
upthrust	n.	(geology) a rise of land to a higher elevation (as in the process of mountain building)
uptick	n.	a transaction in the stock market at a price above the price of the preceding transaction
uptight	adj.	being in a tense state
uptown	n.	a residential part of town away from the central commercial district
uptown	adj.	of or located in the upper part of a town
uptown	adv.	toward or in the upper part of town
upturn	n.	an upward movement or trend as in business activity
upward	adj.	directed up
upward	adj.	extending or moving toward a higher place
upward	adv.	spatially or metaphorically from a lower to a higher position
upward	adv.	to a later time
upwind	adj.	towards the side exposed to wind
upwind	adv.	toward the wind
upwind	adv.	in the direction opposite to the direction the wind is blowing
ur	n.	an ancient city of Sumer located on a former channel of the Euphrates River
uracil	n.	a base containing nitrogen that is found in RNA (but not in DNA) and derived from pyrimidine; pairs with adenine
urals	n.	a mountain range in western Russia extending from the Arctic to the Caspian Sea; forms part of the traditional boundary between Europe and Asia
urania	n.	(Greek mythology) the Muse of astronomy
urania	n.	goddess of love; counterpart of Greek Aphrodite
uranium	n.	a heavy toxic silvery-white radioactive metallic element; occurs in many isotopes; used for nuclear fuels and nuclear weapons
uranus	n.	(Greek mythology) god of the heavens; son and husband of Gaea and father of the Titans in ancient mythology
uranus	n.	a giant planet with a ring of ice particles; the 7th planet from the sun has a blue-green color and many satellites
urban	adj.	relating to or concerned with a city or densely populated area
urban	adj.	located in or characteristic of a city or city life
urbane	adj.	showing a high degree of refinement and the assurance that comes from wide social experience
urbanity	n.	polished courtesy; elegance of manner
urbanity	n.	the quality or character of life in a city or town
urbanization	n.	the condition of being urbanized
urbanization	n.	the social process whereby cities grow and societies become more urban
urbanize	v.	make more industrial or city-like
urbanize	v.	impart urban habits, ways of life, or responsibilities upon
urchin	n.	poor and often mischievous city child
urdu	n.	the official literary language of Pakistan, closely related to Hindi; widely used in India (mostly by Moslems); written in Arabic script
urea	n.	the chief solid component of mammalian urine; synthesized from ammonia and carbon dioxide and used as fertilizer and in animal feed and in plastics
uremia	n.	accumulation in the blood of nitrogenous waste products (urea) that are usually excreted in the urine
uremic	adj.	of or involving excess nitrogenous waste products in the urine (usually due to kidney insufficiency)
ureter	n.	either of a pair of thick-walled tubes that carry urine from the kidney to the urinary bladder
urethane	n.	an ester of carbamic acid
urethra	n.	duct through which urine is discharged in most mammals and which serves as the male genital duct
urethrae	n.	duct through which urine is discharged in most mammals and which serves as the male genital duct
urethral	adj.	of or relating to the urethra
urey	n.	United States chemist who discovered deuterium (1893-1981)
urge	n.	an instinctive motive
urge	n.	a strong restless desire
urge	v.	force or impel in an indicated direction
urge	v.	push for something
urge	v.	spur on or encourage especially by cheers and shouts
urgency	n.	the state of being urgent; an earnest and insistent necessity
urgency	n.	pressing importance requiring speedy action
urgency	n.	an urgent situation calling for prompt action
urgency	n.	insistent solicitation and entreaty
urgent	adj.	compelling immediate action
uriah	n.	(Old Testament) the husband of Bathsheba and a soldier who was sent to die in battle so that king David could marry his wife (circa 10th century BC)
uric	adj.	in or relating to or obtained from urine
urinal	n.	a plumbing fixture (usually attached to the wall) used by men to urinate
urinalyses	n.	(medicine) the chemical analysis of urine (for medical diagnosis)
urinalysis	n.	(medicine) the chemical analysis of urine (for medical diagnosis)
urinary	adj.	of or relating to the function or production or secretion of urine
urinary	adj.	of or relating to the urinary system of the body
urinate	v.	pass after the manner of urine
urinate	v.	eliminate urine
urination	n.	the discharge of urine
urine	n.	liquid excretory product
url	n.	the address of a web page on the world wide web
urn	n.	a large vase that usually has a pedestal or feet
urn	n.	a large pot for making coffee or tea
urogenital	adj.	of or relating to the urinary and reproductive systems
urologist	n.	a specialist in urology
urology	n.	the branch of medicine that deals with the diagnosis and treatment of disorders of the urinary tract or urogenital system
ursine	adj.	of or relating to or similar to bears
urticaria	n.	an itchy skin eruption characterized by weals with pale interiors and well-defined red margins; usually the result of an allergic response to insect bites or food or drugs
uruguay	n.	a South American republic on the southeast coast of South America; achieved independence from Brazil in 1825
uruguayan	n.	a native or inhabitant of Uruguay
uruguayan	adj.	of or relating to or characteristic of Uruguay or its people
us	n.	North American republic containing 50 states - 48 conterminous states in North America plus Alaska in northwest North America and the Hawaiian Islands in the Pacific Ocean; achieved independence in 1776
us	n.	a base containing nitrogen that is found in RNA (but not in DNA) and derived from pyrimidine; pairs with adenine
us	n.	a heavy toxic silvery-white radioactive metallic element; occurs in many isotopes; used for nuclear fuels and nuclear weapons
us	n.	the 21st letter of the Roman alphabet
usa	n.	North American republic containing 50 states - 48 conterminous states in North America plus Alaska in northwest North America and the Hawaiian Islands in the Pacific Ocean; achieved independence in 1776
usa	n.	the army of the United States of America; the agency that organizes and trains soldiers for land warfare
usability	n.	the quality of being able to provide good service
usable	adj.	capable of being put to use
usable	adj.	fit or ready for use or service
usable	adj.	convenient for use or disposal
usaf	n.	the airforce of the United States of America; the agency that defends the United States through control and exploitation of air and space
usage	n.	the act of using
usage	n.	accepted or habitual practice
usage	n.	the customary manner in which a language (or a form of a language) is spoken or written
usda	n.	the federal department that administers programs that provide services to farmers (including research and soil conservation and efforts to stabilize the farming economy); created in 1862
use	n.	the act of using
use	n.	what something is used for
use	n.	a particular service
use	n.	(economics) the utilization of economic goods to satisfy needs or in manufacturing
use	n.	(psychology) an automatic pattern of behavior in reaction to a specific situation; may be inherited or acquired through frequent repetition
use	n.	exerting shrewd or devious influence especially for one's own advantage
use	n.	(law) the exercise of the legal right to enjoy the benefits of owning property
use	v.	put into service; make work or employ for a particular purpose or for its inherent or natural purpose
use	v.	take or consume (regularly or habitually)
use	v.	use up, consume fully
use	v.	seek or achieve an end by using to one's advantage
use	v.	avail oneself to
use	v.	habitually do something (use only in the past tense)
used	v.	put into service; make work or employ for a particular purpose or for its inherent or natural purpose
used	v.	take or consume (regularly or habitually)
used	v.	use up, consume fully
used	v.	seek or achieve an end by using to one's advantage
used	v.	avail oneself to
used	v.	habitually do something (use only in the past tense)
used	adj.	employed in accomplishing something; - H.H.Arnold & I.C.Eaker
used	adj.	of persons; taken advantage of
used	adj.	previously used or owned by another
useful	adj.	being of use or service
useful	adj.	having a useful function
usefulness	n.	the quality of being of practical use
useless	adj.	having no beneficial use or incapable of functioning usefully
uselessness	n.	the quality of having no practical use
user	n.	a person who makes use of a thing; someone who uses or employs something
user	n.	a person who uses something or someone selfishly or unethically
user	n.	a person who takes drugs
usher	n.	Irish prelate who deduced from the Bible that Creation occurred in the year 4004 BC (1581-1656)
usher	n.	an official stationed at the entrance of a courtroom or legislative chamber
usher	n.	someone employed to conduct others
usher	v.	take (someone) to their seats, as in theaters or auditoriums
usherette	n.	a female usher
usmc	n.	an amphibious division of the United States Navy
usn	n.	the navy of the United States of America; the agency that maintains and trains and equips combat-ready naval forces
usps	n.	an independent federal agency that provides mail processing and delivery service for individuals and businesses in the United States
uss	n.	North American republic containing 50 states - 48 conterminous states in North America plus Alaska in northwest North America and the Hawaiian Islands in the Pacific Ocean; achieved independence in 1776
ussr	n.	a former communist country in eastern Europe and northern Asia; established in 1922; included Russia and 14 other soviet socialist republics (Ukraine and Byelorussia and others); officially dissolved 31 December 1991
ustinov	n.	British actor and playwright (1921-2004)
usual	adj.	occurring or encountered or experienced or observed frequently or in accordance with regular practice or procedure
usual	adj.	commonly encountered
usurer	n.	someone who lends money at excessive rates of interest
usurious	adj.	greatly exceeding bounds of reason or moderation
usurp	v.	seize and take control without authority and possibly with force; take as one's right or possession
usurp	v.	take the place of
usurpation	n.	entry to another's property without right or permission
usurpation	n.	wrongfully seizing and holding (an office or powers) by force (especially the seizure of a throne or supreme authority)
usurper	n.	one who wrongfully or illegally seizes and holds the place of another
usury	n.	an exorbitant or unlawful rate of interest
usury	n.	the act of lending money at an exorbitant rate of interest
ut	n.	the local time at the 0 meridian passing through Greenwich, England; it is the same everywhere
ut	n.	a state in the western United States; settled in 1847 by Mormons led by Brigham Young
ut	n.	the syllable naming the first (tonic) note of any major scale in solmization
utah	n.	a state in the western United States; settled in 1847 by Mormons led by Brigham Young
utahan	n.	a native or resident of Utah
utc	n.	Greenwich Mean Time updated with leap seconds
ute	n.	a member of the Shoshonean people of Utah and Colorado and New Mexico
ute	n.	the Shoshonean language spoken by the Utes
utensil	n.	an implement for practical use (especially in a household)
uteri	n.	a hollow muscular organ in the pelvic cavity of females; contains the developing fetus
uterine	adj.	of or involving the uterus
